predecessor_code,successor_code,lag_days,note
1.1,1.2,0,Планировка перед разработкой котлована
1.2,2.1,0,Котлован под фундамент жилого
1.2,3.1,0,Котлован под фундамент нежилого
2.1,2.2,0,Фундамент → гидроизоляция
2.2,2.3,3,Выдержка бетона перед кладкой стен
2.3,2.4,0,Стены → перекрытия
2.4,2.5,0,Перекрытия → кровля
2.5,2.6,0,Кровля → окна и двери (защита проёмов)
2.6,7.1,0,После окон можно заводить трубы
2.6,7.4,0,После окон – электромонтаж
2.3,2.8,0,Несущие стены → перегородки
2.8,5.1,0,Перегородки → штукатурка
5.1,5.2,0,Штукатурка → шпаклёвка
5.2,5.3,0,Шпаклёвка → плитка/обои
5.2,5.4,0,Шпаклёвка → наливные полы
7.1,7.6,0,Трубы водоснабжения → сантехприборы
7.2,5.4,0,Тёплый пол до стяжки
7.4,5.2,0,Электромонтаж до чистовой отделки
2.10,5.1,0,Утепление до штукатурки (внутреннее)
3.2,3.3,0,Каркас → стены нежилые
3.3,3.4,0,Стены → перекрытия
3.4,3.5,0,Перекрытия → кровля нежилая
3.6,3.7,0,Ворота устанавливают до чистовых полов
8.1,7.1,0,Наружный водопровод до внутреннего
8.2,7.1,0,Наружная канализация до внутренней
8.5,7.4,0,Ввод электричества до внутреннего щита
7.7,5.7,0,Пусконаладка систем перед плинтусами
8.3,9.6,0,Наружное освещение до мощения дорожек (кабель под дорожками)
9.1,9.2,0,Расчистка перед планировкой
9.2,9.3,0,Планировка → дренаж
9.3,9.4,0,Дренаж → посадки (корни не повредят)
9.4,9.5,0,Посадка крупномеров до газона
9.5,9.8,0,Газон перед автополивом (или одновременно)
9.6,9.7,2,Мощение дорожек → заборы/перголы (может параллельно)
9.4,9.7,0,Посадки и малые формы – частично параллельно
2.6,9.6,0,Окна и двери жилого дома – перед ландшафтными работами у фасада
